TVID,DID,DLN,Plate Number,Time,Date,Location,Type,Description,Penalty Type,Penalty Status,Fines Paid,Personal Damage,Personal Injury,Reporting Officer,Officer's Division
TV3030,D1000,DL1000,PAB3494,14:36,05/01/2026,Diamond,DUI,Operating vehicle while BAC exceeded legal limit; no damage or injury reported.,Fine,Contested,FALSE,Yes,No,Insp. Adams,Region 3 Division
TV3042,D1000,DL1000,PAG3494,01:07,12/03/2026,Enmore,Speeding,Vehicle exceeded posted speed limit; incident resulted in personal injury.,Warning,NULL,NULL,No,Yes,Sgt. Daniels,Region 4B Division
TV3028,D1001,DL1001,CJ7806,11:15,18/06/2025,Parika,DUI,Alcohol-impaired driving detected; no injuries or property damage reported.,Fine,Unpaid,FALSE,No,No,Sgt. Daniels,Region 3 Division
TV3044,D1001,DL1001,CJ7806,02:11,22/12/2025,Linden,Speeding,Excessive speed on public road; incident involved personal injury.,Ticket,Contested,FALSE,No,Yes,Cpl. Fraser,Region 3 Division
TV3048,D1002,DL1002,PVV6372,04:26,10/11/2025,Parika,Illegal Parking,"Vehicle left in prohibited zone, obstructing traffic flow.",Ticket,Partial,FALSE,No,No,Insp. Adams,Region 3 Division
TV3027,D1004,DL1004,GAB3431,04:34,15/01/2026,Parika,Traffic Signals Violation,Failure to obey traffic signal; resulted in property damage.,Warning,NULL,NULL,Yes,No,Insp. Adams,Region 4A Division
TV3004,D1005,DL1005,BAD5585,23:51,04/09/2025,Parika,Speeding,Velocity above legal limit; no reported damage or injury.,Ticket,Contested,FALSE,No,No,Const. Singh,Region 4B Division
TV3045,D1005,DL1005,BAD5585,05:42,01/06/2025,New Amsterdam,DUI,Driver under influence; no property damage or injury.,Fine,Contested,FALSE,No,No,Sgt. Daniels,Region 4B Division
TV3032,D1006,DL1006,BAC5733,01:33,14/03/2026,Linden,Traffic Signals Violation,Disregarded traffic signal; resulted in property damage.,Ticket,Unpaid,FALSE,Yes,Yes,Insp. Adams,Region 3 Division
TV3001,D1008,DL1008,GAC4553,03:05,22/10/2025,New Amsterdam,Speeding,Speeding violation; incident resulted in personal injury.,Ticket,Paid,TRUE,No,Yes,Sgt. Daniels,Region 4A Division
TV3041,D1008,DL1008,GAC4553,22:50,03/08/2025,New Amsterdam,Traffic Signals Violation,Red light violation; resulted in property damage.,Ticket,Waived,FALSE,Yes,No,Const. Singh,Region 4A Division
TV3012,D1009,DL1009,GAH9462,10:24,20/02/2026,Enmore,Illegal Parking,Stationary vehicle in no-parking zone.,Warning,NULL,NULL,No,No,Const. Singh,Region 4A Division
TV3038,D1011,DL1011,GAH9462,01:39,11/05/2025,Parika,Speeding,Driving above posted speed limit; no injuries reported.,Warning,NULL,NULL,No,No,Insp. Adams,Region 4B Division
TV3049,D1012,DL1012,PAH3627,20:23,05/01/2026,Georgetown,Speeding,High speed violation; resulted in personal injury.,Warning,NULL,NULL,No,Yes,Const. Singh,Region 3 Division
TV3019,D1014,DL1014,BAD3607,06:02,20/12/2025,Anna Regina,Illegal Parking,Unauthorized parking; incident resulted in personal injury.,Ticket,Waived,FALSE,Yes,Yes,Insp. Adams,Region 4B Division
TV3046,D1016,DL1016,BAD2973,11:22,07/07/2025,Parika,DUI,Impaired driving; resulted in personal injury.,Fine,Paid,TRUE,No,Yes,Insp. Adams,Region 4B Division
TV3021,D1017,DL1017,HC8123,13:45,15/10/2025,Anna Regina,Speeding,Speeding offense; resulted in personal injury.,Warning,NULL,NULL,No,Yes,Insp. Adams,Region 4A Division
TV3031,D1017,DL1017,HC8123,05:11,10/11/2025,Parika,Traffic Signals Violation,Traffic light violation; resulted in property damage.,Warning,NULL,NULL,Yes,No,Cpl. Fraser,Region 3 Division
TV3039,D1017,DL1017,HC8123,19:47,20/01/2026,Anna Regina,Traffic Signals Violation,Signal disregard; resulted in property damage.,Ticket,Partial,FALSE,Yes,No,Sgt. Daniels,Region 3 Division
TV3017,D1020,DL1020,PAE2516,21:59,15/09/2025,Diamond,Traffic Signals Violation,Failed to stop at signal; no damage or injury.,Warning,NULL,NULL,No,No,Cpl. Fraser,Region 4A Division
TV3006,D1021,DL1021,PAG3617,03:47,10/06/2025,Bartica,Illegal Parking,Parking in prohibited area.,Ticket,Waived,FALSE,No,No,Sgt. Daniels,Region 3 Division
TV3033,D1021,DL1021,PAH3526,14:02,22/11/2025,Diamond,Illegal Parking,Vehicle obstructing roadway.,Ticket,Waived,FALSE,No,Yes,Sgt. Daniels,Region 3 Division
TV3025,D1022,DL1022,PAE6278,15:03,01/01/2026,Anna Regina,Illegal Parking,Illegal parking; resulted in property damage and injury.,Warning,NULL,NULL,Yes,Yes,Const. Singh,Region 3 Division
